anho,mes,dia,dia_semana,festivo
2014,09,10,4,0
2014,09,11,5,0
2014,09,12,6,0
2014,09,13,7,0
2014,09,14,1,0
2014,09,15,2,0
2014,09,16,3,0
2014,09,17,4,0
2014,09,18,5,0
2014,09,19,6,0
2014,09,20,7,0
2014,09,21,1,0
2014,09,22,2,0
2014,09,23,3,0
2014,09,24,4,0
2014,09,25,5,0
2014,09,26,6,0
2014,09,27,7,0
2014,09,28,1,0
2014,09,29,2,0
2014,09,30,3,0
2014,10,1,4,0
2014,10,2,5,0
2014,10,3,6,0
2014,10,4,7,0
2014,10,5,1,0
2014,10,6,2,0
2014,10,7,3,0
2014,10,8,4,0
2014,10,9,5,0
2014,10,10,6,0
2014,10,11,7,0
2014,10,12,1,0
2014,10,13,2,0
2014,10,14,3,0
2014,10,15,4,0
2014,10,16,5,0
2014,10,17,6,0
2014,10,18,7,0
2014,10,19,1,0
2014,10,20,2,0
2014,10,21,3,0
2014,10,22,4,0
2014,10,23,5,0
2014,10,24,6,0
2014,10,25,7,0
2014,10,26,1,0
2014,10,27,2,0
2014,10,28,3,0
2014,10,29,4,0
2014,10,30,5,0
2014,10,31,6,0
2014,11,1,7,0
2014,11,2,1,0
2014,11,3,2,0
2014,11,4,3,0
2014,11,5,4,0
2014,11,6,5,0
2014,11,7,6,0
2014,11,8,7,0
2014,11,9,1,0
2014,11,10,2,0
2014,11,11,3,0
2014,11,12,4,0
2014,11,13,5,0
2014,11,14,6,0
2014,11,15,7,0
2014,11,16,1,0
2014,11,17,2,0
2014,11,18,3,0
2014,11,19,4,0
2014,11,20,5,0
2014,11,21,6,0
2014,11,22,7,0
2014,11,23,1,0
2014,11,24,2,0
2014,11,25,3,0
2014,11,26,4,0
2014,11,27,5,0
2014,11,28,6,0
2014,11,29,7,0
2014,11,30,1,0
2014,12,1,2,0
2014,12,2,3,0
2014,12,3,4,0
2014,12,4,5,0
2014,12,5,6,0
2014,12,6,7,0
2014,12,7,1,0
2014,12,8,2,0
2014,12,9,3,0
2014,12,10,4,0
2014,12,11,5,0
2014,12,12,6,0
2014,12,13,7,0
2014,12,14,1,0
2014,12,15,2,0
2014,12,16,3,0
2014,12,17,4,0
2014,12,18,5,0
2014,12,19,6,0
2014,12,20,7,0
2014,12,21,1,0
2014,12,22,2,0
2014,12,23,3,0
2014,12,24,4,0
2014,12,25,5,0
2014,12,26,6,0
2014,12,27,7,0
2014,12,28,1,0
2014,12,29,2,0
2014,12,30,3,0
2014,12,31,4,0
