fecha,anho,mes,dia,dia_semana,festivo
04/06/2015,2015,06,4,5,0
05/06/2015,2015,06,5,6,0
06/06/2015,2015,06,6,7,0
07/06/2015,2015,06,7,1,0
08/06/2015,2015,06,8,2,0
09/06/2015,2015,06,9,3,0
10/06/2015,2015,06,10,4,0
11/06/2015,2015,06,11,5,0
12/06/2015,2015,06,12,6,0
13/06/2015,2015,06,13,7,0
14/06/2015,2015,06,14,1,0
15/06/2015,2015,06,15,2,0
16/06/2015,2015,06,16,3,0
17/06/2015,2015,06,17,4,0
18/06/2015,2015,06,18,5,0
19/06/2015,2015,06,19,6,0
20/06/2015,2015,06,20,7,0
21/06/2015,2015,06,21,1,0
22/06/2015,2015,06,22,2,0
23/06/2015,2015,06,23,3,0
24/06/2015,2015,06,24,4,0
25/06/2015,2015,06,25,5,0
26/06/2015,2015,06,26,6,0
27/06/2015,2015,06,27,7,0
28/06/2015,2015,06,28,1,0
29/06/2015,2015,06,29,2,0
30/06/2015,2015,06,30,3,0
01/07/2015,2015,07,1,4,0
02/07/2015,2015,07,2,5,0
03/07/2015,2015,07,3,6,0
04/07/2015,2015,07,4,7,0
05/07/2015,2015,07,5,1,0
06/07/2015,2015,07,6,2,0
07/07/2015,2015,07,7,3,0
08/07/2015,2015,07,8,4,0
09/07/2015,2015,07,9,5,0
10/07/2015,2015,07,10,6,0
11/07/2015,2015,07,11,7,0
12/07/2015,2015,07,12,1,0
13/07/2015,2015,07,13,2,0
14/07/2015,2015,07,14,3,0
15/07/2015,2015,07,15,4,0
16/07/2015,2015,07,16,5,0
17/07/2015,2015,07,17,6,0
18/07/2015,2015,07,18,7,0
19/07/2015,2015,07,19,1,0
20/07/2015,2015,07,20,2,0
21/07/2015,2015,07,21,3,0
22/07/2015,2015,07,22,4,0
23/07/2015,2015,07,23,5,0
24/07/2015,2015,07,24,6,0
25/07/2015,2015,07,25,7,0
26/07/2015,2015,07,26,1,0
27/07/2015,2015,07,27,2,0
28/07/2015,2015,07,28,3,0
29/07/2015,2015,07,29,4,0
30/07/2015,2015,07,30,5,0
31/07/2015,2015,07,31,6,0
01/08/2015,2015,08,1,7,0
02/08/2015,2015,08,2,1,0
03/08/2015,2015,08,3,2,0
04/08/2015,2015,08,4,3,0
05/08/2015,2015,08,5,4,0
06/08/2015,2015,08,6,5,0
07/08/2015,2015,08,7,6,0
08/08/2015,2015,08,8,7,0
09/08/2015,2015,08,9,1,0
10/08/2015,2015,08,10,2,0
11/08/2015,2015,08,11,3,0
12/08/2015,2015,08,12,4,0
13/08/2015,2015,08,13,5,0
14/08/2015,2015,08,14,6,0
15/08/2015,2015,08,15,7,0
16/08/2015,2015,08,16,1,0
17/08/2015,2015,08,17,2,0
18/08/2015,2015,08,18,3,0
19/08/2015,2015,08,19,4,0
20/08/2015,2015,08,20,5,0
21/08/2015,2015,08,21,6,0
22/08/2015,2015,08,22,7,0
23/08/2015,2015,08,23,1,0
24/08/2015,2015,08,24,2,0
25/08/2015,2015,08,25,3,0
26/08/2015,2015,08,26,4,0
27/08/2015,2015,08,27,5,0
28/08/2015,2015,08,28,6,0
29/08/2015,2015,08,29,7,0
30/08/2015,2015,08,30,1,0
31/08/2015,2015,08,31,2,0
01/09/2015,2015,09,1,3,0
02/09/2015,2015,09,2,4,0
03/09/2015,2015,09,3,5,0
04/09/2015,2015,09,4,6,0
05/09/2015,2015,09,5,7,0
06/09/2015,2015,09,6,1,0
07/09/2015,2015,09,7,2,0
08/09/2015,2015,09,8,3,0
09/09/2015,2015,09,9,4,0
10/09/2015,2015,09,10,5,0
11/09/2015,2015,09,11,6,0
12/09/2015,2015,09,12,7,0
13/09/2015,2015,09,13,1,0
14/09/2015,2015,09,14,2,0
15/09/2015,2015,09,15,3,0
16/09/2015,2015,09,16,4,0
17/09/2015,2015,09,17,5,0
18/09/2015,2015,09,18,6,0
19/09/2015,2015,09,19,7,0
20/09/2015,2015,09,20,1,0
21/09/2015,2015,09,21,2,0
22/09/2015,2015,09,22,3,0
23/09/2015,2015,09,23,4,0
24/09/2015,2015,09,24,5,0
25/09/2015,2015,09,25,6,0
26/09/2015,2015,09,26,7,0
27/09/2015,2015,09,27,1,0
28/09/2015,2015,09,28,2,0
29/09/2015,2015,09,29,3,0
30/09/2015,2015,09,30,4,0
