anho,mes,dia,dia_semana,festivo
2015,1,1,5,Y
2015,1,25,1,Y
2015,1,27,3,Y
2015,2,14,7,Y
2015,2,17,3,Y
2015,2,18,4,Y
2015,3,1,1,Y
2015,3,15,1,Y
2015,3,17,3,Y
2015,3,29,1,Y
2015,4,1,4,Y
2015,4,2,5,Y
2015,4,3,6,Y
2015,4,5,1,Y
2015,4,6,2,Y
2015,4,21,3,Y
2015,4,23,5,Y
2015,5,4,2,Y
2015,5,25,2,Y
2015,6,14,1,Y
2015,6,21,1,Y
2015,7,14,3,Y
2015,7,15,4,Y
2015,8,31,2,Y
2015,10,25,1,Y
2015,10,31,7,Y
2015,11,1,1,Y
2015,11,5,5,Y
2015,11,8,1,Y
2015,11,30,2,Y
2015,12,25,6,Y
2015,12,28,2,Y
